Dir,Datetime,Camera,Label
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:13,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:16,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:17,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:18,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:19,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:20,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:23,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:25,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:27,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:29,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:31,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:32,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:33,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:36,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:37,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:43,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:46,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:47,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:48,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:49,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:50,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:51,CAM273,0
E:\Trail_Cameras\Utah\2016-2017\Cam273_120816_Jackrabbit,2016:12:08 13:59:52,CAM273,0
