Dir,Datetime,Camera,Label
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:17,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:21,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:22,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:24,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:25,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:29,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:30,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:33,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:34,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:36,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:37,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:38,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:39,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:41,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:42,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:43,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:45,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:46,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:47,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:49,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:50,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:53,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:55,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:56,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:29:59,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:30:01,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:30:02,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:30:04,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:30:05,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:30:06,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:30:08,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:30:10,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:30:11,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:30:19,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:30:21,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:30:23,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:30:26,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:30:27,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:30:28,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:30:30,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:30:31,CAM276,0
E:\Trail_Cameras\Utah\2016-2017\Cam276_121216_Raccoon,2016:12:12 15:30:32,CAM276,0
