Dir,Datetime,Camera,Label
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:29:39,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:29:42,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:29:44,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:29:45,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:29:47,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:29:48,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:29:50,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:29:51,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:29:53,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:29:54,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:29:57,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:29:58,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:30:00,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:30:01,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:35:00,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:35:01,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:35:02,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:35:04,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:35:06,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:35:07,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:42:31,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:42:33,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:55:41,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:55:42,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:55:50,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:55:51,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:55:53,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:55:54,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:55:57,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:55:58,279,0
E:\Trail_Cameras\Utah\2016-2017\Cam279_011817_Deer,2017:01:18 12:56:00,279,0
