Dir,Datetime,Camera,Label
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:26:28,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:26:34,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:26:38,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:26:42,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:26:45,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:26:46,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:26:48,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:26:49,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:26:51,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:26:52,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:26:54,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:26:56,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:26:59,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:27:01,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:27:02,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:27:04,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:27:06,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:27:08,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:27:10,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:27:11,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:27:12,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:27:14,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:27:17,326,0
E:\Trail_Cameras\Utah\2016-2017\Cam326_010317_Rabbit,2017:01:03 12:27:19,326,0
