Camera,Datetime,Dir,EagleLabel,Image1,Image2,ROI,bbox,regionID
CAM74,2016:11:11 17:00:34,d:\photo_set_1\,0.0,1.0,2.0,"[(354, 454), (1443, 1202)]","(0, 170, 578, 586)",2.0
CAM74,2016:11:11 17:00:34,d:\photo_set_1\,0.0,1.0,2.0,"[(354, 454), (1443, 1202)]","(499, 702, 714, 1076)",953.0
CAM74,2016:11:11 17:00:34,d:\photo_set_1\,0.0,1.0,2.0,"[(354, 454), (1443, 1202)]","(508, 0, 748, 385)",960.0
CAM74,2016:11:11 17:00:36,d:\photo_set_1\,0.0,2.0,3.0,"[(354, 454), (1443, 1202)]","(0, 694, 169, 1089)",12.0
CAM74,2016:11:11 17:00:36,d:\photo_set_1\,0.0,2.0,3.0,"[(354, 454), (1443, 1202)]","(256, 0, 748, 431)",1469.0
CAM74,2016:11:11 17:00:36,d:\photo_set_1\,0.0,2.0,3.0,"[(354, 454), (1443, 1202)]","(265, 338, 520, 502)",1582.0
CAM74,2016:11:11 17:00:37,d:\photo_set_1\,0.0,3.0,1.0,"[(354, 454), (1443, 1202)]","(0, 744, 178, 1018)",11.0
CAM74,2016:11:11 17:00:37,d:\photo_set_1\,0.0,3.0,1.0,"[(354, 454), (1443, 1202)]","(201, 0, 698, 585)",572.0
CAM74,2016:11:11 17:00:41,d:\photo_set_1\,0.0,4.0,5.0,"[(354, 454), (1443, 1202)]","(0, 566, 748, 1089)",23.0
CAM74,2016:11:11 17:00:44,d:\photo_set_1\,0.0,5.0,6.0,"[(354, 454), (1443, 1202)]","(364, 842, 664, 975)",19513.0
CAM74,2016:11:11 17:00:45,d:\photo_set_1\,0.0,6.0,4.0,"[(354, 454), (1443, 1202)]","(0, 566, 748, 1089)",26.0
CAM74,2016:11:11 17:01:22,d:\photo_set_1\,0.0,7.0,8.0,"[(354, 454), (1443, 1202)]","(0, 150, 204, 617)",6.0
CAM74,2016:11:11 17:01:22,d:\photo_set_1\,0.0,7.0,8.0,"[(354, 454), (1443, 1202)]","(23, 870, 260, 1089)",90.0
CAM74,2016:11:11 17:01:22,d:\photo_set_1\,0.0,7.0,8.0,"[(354, 454), (1443, 1202)]","(278, 372, 503, 647)",1133.0
CAM74,2016:11:11 17:01:22,d:\photo_set_1\,0.0,7.0,8.0,"[(354, 454), (1443, 1202)]","(477, 293, 748, 566)",2211.0
CAM74,2016:11:11 17:01:23,d:\photo_set_1\,0.0,8.0,9.0,"[(354, 454), (1443, 1202)]","(0, 670, 748, 1089)",45.0
CAM74,2016:11:11 17:01:24,d:\photo_set_1\,0.0,9.0,7.0,"[(354, 454), (1443, 1202)]","(0, 150, 204, 616)",9.0
CAM74,2016:11:11 17:01:24,d:\photo_set_1\,0.0,9.0,7.0,"[(354, 454), (1443, 1202)]","(279, 372, 552, 689)",1233.0
CAM74,2016:11:11 17:01:24,d:\photo_set_1\,0.0,9.0,7.0,"[(354, 454), (1443, 1202)]","(483, 292, 748, 631)",2183.0
CAM74,2016:11:11 17:01:25,d:\photo_set_1\,0.0,10.0,11.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 17:01:26,d:\photo_set_1\,0.0,11.0,12.0,"[(354, 454), (1443, 1202)]","(0, 852, 622, 1089)",57.0
CAM74,2016:11:11 17:01:27,d:\photo_set_1\,0.0,12.0,10.0,"[(354, 454), (1443, 1202)]","(0, 854, 633, 1089)",55.0
CAM74,2016:11:11 17:01:33,d:\photo_set_1\,0.0,13.0,14.0,"[(354, 454), (1443, 1202)]","(0, 866, 376, 1089)",91.0
CAM74,2016:11:11 17:01:34,d:\photo_set_1\,0.0,14.0,15.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 17:01:35,d:\photo_set_1\,0.0,15.0,13.0,"[(354, 454), (1443, 1202)]","(0, 870, 346, 1089)",83.0
CAM74,2016:11:11 17:01:36,d:\photo_set_1\,0.0,16.0,17.0,"[(354, 454), (1443, 1202)]","(0, 18, 203, 363)",1.0
CAM74,2016:11:11 17:01:36,d:\photo_set_1\,0.0,16.0,17.0,"[(354, 454), (1443, 1202)]","(39, 646, 202, 1089)",365.0
CAM74,2016:11:11 17:01:36,d:\photo_set_1\,0.0,16.0,17.0,"[(354, 454), (1443, 1202)]","(217, 0, 542, 421)",2687.0
CAM74,2016:11:11 17:01:37,d:\photo_set_1\,0.0,17.0,18.0,"[(354, 454), (1443, 1202)]","(0, 20, 203, 495)",2.0
CAM74,2016:11:11 17:01:37,d:\photo_set_1\,0.0,17.0,18.0,"[(354, 454), (1443, 1202)]","(204, 0, 543, 422)",3282.0
CAM74,2016:11:11 17:01:38,d:\photo_set_1\,0.0,18.0,16.0,"[(354, 454), (1443, 1202)]","(0, 613, 205, 1089)",46.0
CAM74,2016:11:11 17:01:39,d:\photo_set_1\,0.0,19.0,20.0,"[(354, 454), (1443, 1202)]","(0, 990, 303, 1089)",101.0
CAM74,2016:11:11 17:01:40,d:\photo_set_1\,0.0,20.0,21.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 17:01:41,d:\photo_set_1\,0.0,21.0,19.0,"[(354, 454), (1443, 1202)]","(0, 972, 332, 1089)",107.0
CAM74,2016:11:11 17:01:42,d:\photo_set_1\,0.0,22.0,23.0,"[(354, 454), (1443, 1202)]","(0, 328, 279, 608)",20.0
CAM74,2016:11:11 17:01:42,d:\photo_set_1\,0.0,22.0,23.0,"[(354, 454), (1443, 1202)]","(0, 707, 616, 1089)",41.0
CAM74,2016:11:11 17:01:43,d:\photo_set_1\,0.0,23.0,24.0,"[(354, 454), (1443, 1202)]","(0, 142, 275, 336)",12.0
CAM74,2016:11:11 17:01:43,d:\photo_set_1\,0.0,23.0,24.0,"[(354, 454), (1443, 1202)]","(0, 326, 315, 682)",19.0
CAM74,2016:11:11 17:01:43,d:\photo_set_1\,0.0,23.0,24.0,"[(354, 454), (1443, 1202)]","(0, 984, 267, 1089)",51.0
CAM74,2016:11:11 17:01:43,d:\photo_set_1\,0.0,23.0,24.0,"[(354, 454), (1443, 1202)]","(266, 766, 565, 933)",8251.0
CAM74,2016:11:11 17:01:44,d:\photo_set_1\,0.0,24.0,22.0,"[(354, 454), (1443, 1202)]","(0, 143, 265, 311)",5.0
CAM74,2016:11:11 17:01:44,d:\photo_set_1\,0.0,24.0,22.0,"[(354, 454), (1443, 1202)]","(0, 709, 651, 1089)",33.0
CAM74,2016:11:11 17:03:18,d:\photo_set_1\,0.0,25.0,26.0,"[(354, 454), (1443, 1202)]","(0, 87, 204, 959)",9.0
CAM74,2016:11:11 17:03:20,d:\photo_set_1\,0.0,26.0,27.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 17:03:21,d:\photo_set_1\,0.0,27.0,25.0,"[(354, 454), (1443, 1202)]","(0, 89, 204, 958)",5.0
CAM74,2016:11:11 17:08:18,d:\photo_set_1\,0.0,28.0,29.0,"[(354, 454), (1443, 1202)]","(296, 840, 633, 1007)",14747.0
CAM74,2016:11:11 17:08:18,d:\photo_set_1\,0.0,28.0,29.0,"[(354, 454), (1443, 1202)]","(354, 638, 697, 864)",17741.0
CAM74,2016:11:11 17:08:19,d:\photo_set_1\,0.0,29.0,30.0,"[(354, 454), (1443, 1202)]","(341, 739, 692, 1012)",17255.0
CAM74,2016:11:11 17:08:20,d:\photo_set_1\,0.0,30.0,28.0,"[(354, 454), (1443, 1202)]","(296, 678, 748, 1001)",14886.0
CAM74,2016:11:11 17:13:02,d:\photo_set_1\,0.0,31.0,32.0,"[(354, 454), (1443, 1202)]","(226, 0, 396, 271)",10015.0
CAM74,2016:11:11 17:13:03,d:\photo_set_1\,0.0,32.0,33.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 17:13:04,d:\photo_set_1\,0.0,33.0,31.0,"[(354, 454), (1443, 1202)]","(219, 0, 394, 271)",10021.0
CAM74,2016:11:11 17:14:04,d:\photo_set_1\,0.0,34.0,35.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 17:14:05,d:\photo_set_1\,0.0,35.0,36.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 17:14:06,d:\photo_set_1\,0.0,36.0,34.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 17:18:15,d:\photo_set_1\,0.0,37.0,38.0,"[(354, 454), (1443, 1202)]","(369, 0, 700, 474)",14037.0
CAM74,2016:11:11 17:18:16,d:\photo_set_1\,0.0,38.0,39.0,"[(354, 454), (1443, 1202)]","(354, 698, 731, 935)",16531.0
CAM74,2016:11:11 17:18:17,d:\photo_set_1\,0.0,39.0,37.0,"[(354, 454), (1443, 1202)]","(368, 0, 703, 476)",13449.0
CAM74,2016:11:11 17:36:46,d:\photo_set_1\,0.0,40.0,41.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 17:36:47,d:\photo_set_1\,0.0,41.0,42.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 17:36:48,d:\photo_set_1\,0.0,42.0,40.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 17:39:08,d:\photo_set_1\,0.0,43.0,44.0,"[(354, 454), (1443, 1202)]","(402, 817, 748, 989)",16632.0
CAM74,2016:11:11 17:39:09,d:\photo_set_1\,0.0,44.0,45.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 17:39:10,d:\photo_set_1\,0.0,45.0,43.0,"[(354, 454), (1443, 1202)]","(404, 793, 748, 960)",16582.0
CAM74,2016:11:11 17:47:11,d:\photo_set_1\,0.0,46.0,47.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 17:47:12,d:\photo_set_1\,0.0,47.0,48.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 17:47:13,d:\photo_set_1\,0.0,48.0,46.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 17:54:12,d:\photo_set_1\,0.0,49.0,50.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 17:54:13,d:\photo_set_1\,0.0,50.0,51.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 17:54:14,d:\photo_set_1\,0.0,51.0,49.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 18:19:50,d:\photo_set_1\,0.0,52.0,53.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 18:19:52,d:\photo_set_1\,0.0,53.0,54.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 18:19:53,d:\photo_set_1\,0.0,54.0,52.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 18:30:22,d:\photo_set_1\,0.0,55.0,56.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 18:30:23,d:\photo_set_1\,0.0,56.0,57.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 18:30:24,d:\photo_set_1\,0.0,57.0,55.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 18:31:06,d:\photo_set_1\,0.0,58.0,59.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 18:31:08,d:\photo_set_1\,0.0,59.0,60.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 18:31:09,d:\photo_set_1\,0.0,60.0,58.0,"[(354, 454), (1443, 1202)]",,
CAM74,2016:11:11 18:31:13,d:\photo_set_1\,0.0,61.0,62.0,"[(354, 454), (1443, 1202)]",,
