NumObj for DistRank=0,,,Size for DistRank=1,
,,,,
Mean,3.81792668,,Mean,51554.6071
Standard Error,0.0313311,,Standard Error,1156.077943
Median,3,,Median,25465
Mode,3,,Mode,32323
Standard Deviation,2.365653646,,Standard Deviation,74394.31177
Sample Variance,5.596317174,,Sample Variance,5534513623
Kurtosis,2.845787917,,Kurtosis,27.85907659
Skewness,1.215001525,,Skewness,4.46235182
Range,15,,Range,835868
Minimum,0,,Minimum,10000
Maximum,15,,Maximum,845868
Sum,21766,,Sum,213487628
Count,5701,,Count,4141
